Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Grady Mchugh,M,SBD,Raw,14.5,13-15,14-18,MR-T,66,67.5,110,117.5,127.5,,127.5,67.5,-72.5,72.5,,72.5,142.5,150,-157.5,,150,350,1,274.23,274.82,267.04,54.56,Yes,USA,CT,USAPL,,2023-03-18,USA,CT,,Connecticut State Championships,Yes
Kaileigh Nickel,F,SBD,Single-ply,16.5,16-17,14-18,F-O,63.9,67.5,80,90,97.5,,97.5,37.5,42.5,-45,,42.5,105,115,-125,,115,255,3,271.91,270.95,239.21,45.67,Yes,USA,WI,USAPL,IPF,2017-02-26,USA,WI,,Cudahy High School National Qualifier,Yes
Mason Boutte,M,SBD,Raw,19,18-19,19-23,MR-T3,82.6,90,187.5,205,227.5,,227.5,110,122.5,130,,130,190,210,230,,230,587.5,2,397.70,393.28,378.40,81.52,Yes,USA,LA,USAPL,,2022-08-06,USA,LA,,Louisiana State Meet,Yes
Andrew Allen #6,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,74.75,75,150,160,167.5,,167.5,112.5,-117.5,,,112.5,200,210,-220,,210,490,5,352.29,349.97,338.20,71.56,Yes,USA,IL,USAPL,,2022-12-10,USA,MO,,MO River Open,Yes
Jeffrey Snyder,M,B,Raw,45.5,45-49,40-49,MR-Jr,137,120+,,,,,,-363,-363,,,,,,,,,,DQ,,,,,Yes,USA,NC,USAPL,IPF,2017-04-08,USA,SC,,Battle on the Border,Yes
AJ Jones #1,F,SBD,Raw,30.5,24-34,24-39,FR-O,71,72,107.5,115,122.5,,122.5,62.5,67.5,70,,70,122.5,127.5,140,,140,332.5,2,333.60,327.59,288.67,67.82,Yes,USA,OR,USAPL,IPF,2019-11-17,USA,OR,,Lift for Pits 4,Yes
Bob Evans #1,M,BD,Single-ply,71.5,70-74,70-999,M-M4a,97.4,105,,,,,,-145,145,-150,,145,-162.5,162.5,-182.5,,162.5,307.5,1,191.48,189.19,180.80,,Yes,USA,FL,USAPL,IPF,2019-02-23,USA,FL,,Jacksonville Open Championships,Yes
Cang Nguyen,M,SBD,Raw,18,18-19,19-23,MR-T,79.85,82.5,142.5,152.5,160,,160,77.5,85,-90,,85,205,215,220,,220,465,2,320.99,317.83,306.27,65.65,Yes,USA,IA,USAPL,,2023-04-29,USA,NE,,Star City Showdown,Yes
Maheenuz Zaman,M,SBD,Raw,23.5,24-34,24-39,MR-C,59.15,60,165,175,-182.5,,175,-92.5,95,-97.5,,95,212.5,-220,-220,,212.5,482.5,2,412.08,416.95,407.48,79.73,Yes,USA,NY,USAPL,,2022-11-06,USA,NY,,Ivy League Cup and Collegiate Open,Yes
Bill Villacorta,M,SBD,Raw,19.5,20-23,19-23,MR-O,64.8,66,125,130,-135,,130,92.5,97.5,102.5,,102.5,127.5,137.5,-142.5,,137.5,370,2,293.91,294.98,286.89,58.24,Yes,USA,MD,USAPL,IPF,2016-12-03,USA,MD,,Maryland Collegiate Duel,Yes
